                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.89459,                0.62289,                 1.1841,                      1,                0.74384,                0.92286,                0.53725,                 1.4104,                 0.7869,                  1.473,             0.00058925,             0.00058925,             0.00058925
                     59,                0.87032,                0.65975,                 1.1793,                0.90718,                0.81581,                0.93141,                0.56615,                  1.367,                0.74793,                  1.437,              0.0005645,              0.0005645,              0.0005645
                     60,                0.86416,                0.65693,                  1.131,                      1,                0.89853,                0.98357,                0.60099,                 1.3421,                0.67521,                 1.4344,             0.00053975,             0.00053975,             0.00053975
                     61,                0.85981,                0.66717,                 1.1508,                      1,                 0.8996,                0.98885,                0.60119,                  1.313,                0.67376,                 1.3897,               0.000515,               0.000515,               0.000515
                     62,                0.87536,                 0.6112,                 1.1926,                      1,                0.98634,                  0.995,                0.59597,                 1.3449,                0.68208,                 1.4053,             0.00049025,             0.00049025,             0.00049025
                     63,                0.86415,                0.68323,                 1.2066,                0.98473,                      1,                  0.995,                0.58761,                 1.4657,                0.74741,                 1.5017,              0.0004655,              0.0004655,              0.0004655
                     64,                0.86799,                0.62135,                 1.1466,                      1,                0.98408,                  0.995,                0.56831,                 1.5097,                0.76557,                 1.5386,             0.00044075,             0.00044075,             0.00044075
                     65,                0.80503,                0.62919,                 1.1284,                0.91382,                      1,                0.98885,                0.52881,                 1.4917,                0.76644,                 1.5324,               0.000416,               0.000416,               0.000416
                     66,                0.86976,                0.63666,                 1.1578,                0.99101,                      1,                  0.995,                0.57354,                 1.4234,                0.73211,                 1.4823,             0.00039125,             0.00039125,             0.00039125
                     67,                0.78935,                0.65471,                 1.1397,                0.99119,                      1,                  0.995,                0.60197,                 1.3603,                0.67842,                 1.4557,              0.0003665,              0.0003665,              0.0003665
                     68,                0.80898,                0.62094,                 1.0955,                0.99487,                      1,                  0.995,                0.63639,                  1.261,                0.63298,                 1.4006,             0.00034175,             0.00034175,             0.00034175
                     69,                0.83071,                0.65047,                 1.1351,                0.99933,                      1,                  0.995,                0.63091,                 1.2351,                0.61832,                 1.3931,               0.000317,               0.000317,               0.000317
                     70,                0.84388,                0.59379,                 1.1258,                      1,                0.96867,                  0.995,                0.62993,                 1.2213,                0.62726,                 1.3786,             0.00029225,             0.00029225,             0.00029225
                     71,                0.78832,                 0.7084,                  1.184,                      1,                0.97585,                  0.995,                0.62317,                 1.3018,                0.64926,                 1.4596,              0.0002675,              0.0002675,              0.0002675
                     72,                0.68286,                 0.6345,                 1.0971,                      1,                 0.9961,                  0.995,                0.61557,                 1.3705,                0.70553,                 1.5147,             0.00024275,             0.00024275,             0.00024275
                     73,                0.69297,                0.61209,                 1.1033,                0.97883,                      1,                  0.995,                0.58187,                 1.4703,                0.76997,                 1.5956,               0.000218,               0.000218,               0.000218
                     74,                0.62147,                0.60138,                 1.0505,                0.99029,                      1,                  0.995,                0.58562,                 1.4617,                0.78329,                 1.5844,             0.00019325,             0.00019325,             0.00019325
                     75,                0.64836,                0.59366,                  1.053,                      1,                0.90372,                0.98885,                0.59729,                 1.4315,                0.78194,                 1.5535,              0.0001685,              0.0001685,              0.0001685
                     76,                0.63647,                0.56845,                 1.0185,                0.99424,                0.83333,                0.96269,                0.58948,                 1.3706,                0.75903,                  1.499,             0.00014375,             0.00014375,             0.00014375
                     77,                0.66986,                0.58333,                 1.0779,                0.99495,                0.83333,                  0.963,                0.58894,                 1.3378,                0.73665,                 1.4837,               0.000119,               0.000119,               0.000119
                     78,                 0.6797,                0.55626,                 1.1199,                0.99567,                0.83333,                0.96269,                0.59694,                 1.3237,                 0.7248,                 1.4645,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.66702,                0.55785,                 1.1013,                      1,                 0.9011,                0.98357,                0.60093,                 1.3212,                0.69603,                 1.4418,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.64994,                0.52329,                 1.0517,                      1,                0.90574,                0.98357,                0.59761,                 1.3268,                0.69471,                 1.4402,              4.475e-05,              4.475e-05,              4.475e-05
